Crop_Year,Area,Rainfall,Production
1997,1878035,938.5,114326591
1998,1862183,1528.2,109489138
1999,1896965,1739.2,108577182
2000,1938366,1718.2,106067503
2001,2034883,1635.5,117981573
2002,2148981,1314.3,120948041
2003,2110126,2143.9,117566725
2004,2002320,1389.2,121755620
2005,2155791,1496,125469871
2006,2246520,1161.4,133949379
2007,2178987,1313.7,124665288
2008,2084179,1753.2,109047670
2009,1977324,1159.4,117139919
2010,2124850,1512.9,120544784
2011,2162404,1558.6,128818743
2012,2211712,992.3,137904315
2013,2228080,1974.2,142045762
2014,2228261,1188.1,146576786
